conteo,tupla,X,L,M,T
1,1|2|5|14|30,180.0,254,254|106,254|106
1,1|2|5|21|35,180.0,110,110|250,110|250
1,1|2|5|30|43,180.0,34,34|326,34|326
1,1|2|7|28|38,180.0,321,321|39,321|39
1,1|3|6|18|20,180.0,265,265|95,265|95
1,1|3|7|16|32,180.0,342,342|18,342|18
1,1|3|36|39|40,180.0,43,43|317,43|317
1,1|4|5|23|26,180.0,292,292|68,292|68
1,1|4|8|14|41,180.0,181,181|179,181|179
1,1|4|10|14|25,180.0,23,23|337,23|337
1,1|4|36|37|43,180.0,263,263|97,263|97
1,1|5|8|20|29,180.0,137,137|223,137|223
1,1|5|13|22|23,180.0,232,232|128,232|128
1,1|5|15|18|39,180.0,65,65|295,65|295
1,1|5|15|30|40,180.0,48,48|312,48|312
1,1|5|16|26|29,180.0,6,6|354,6|354
1,1|6|17|26|35,180.0,197,197|163,197|163
1,1|7|19|22|34,180.0,106,106|254,106|254
1,1|8|9|22|23,180.0,84,84|276,84|276
1,1|8|10|12|40,180.0,188,188|172,188|172
1,1|8|10|15|40,180.0,163,163|197,163|197
1,1|8|12|14|30,180.0,164,164|196,164|196
1,1|9|17|33|42,180.0,183,183|177,183|177
1,1|9|18|23|38,180.0,17,17|343,17|343
1,1|9|20|33|41,180.0,80,80|280,80|280
1,1|10|14|34|42,180.0,298,298|62,298|62
1,1|10|15|20|28,180.0,91,91|269,91|269
1,1|11|14|15|40,180.0,240,240|120,240|120
1,1|11|19|20|37,180.0,337,337|23,337|23
1,1|11|21|37|38,180.0,281,281|79,281|79
1,1|11|23|30|32,180.0,63,63|297,63|297
1,1|11|24|32|39,180.0,22,22|338,22|338
1,1|12|13|19|27,180.0,152,152|208,152|208
1,1|12|20|25|35,180.0,272,272|88,272|88
1,1|12|23|29|38,180.0,99,99|261,99|261
1,1|13|20|22|32,180.0,235,235|125,235|125
1,1|14|31|34|42,180.0,162,162|198,162|198
1,1|15|24|29|33,180.0,190,190|170,190|170
1,1|19|31|36|41,180.0,98,98|262,98|262
1,1|20|25|27|34,180.0,353,353|7,353|7
1,1|23|24|26|42,180.0,35,35|325,35|325
1,1|40|41|42|43,180.0,186,186|174,186|174
1,2|3|8|17|19,180.0,49,49|311,49|311
1,2|3|8|26|40,180.0,295,295|65,295|65
1,2|3|10|24|28,180.0,123,123|237,123|237
1,2|3|12|19|35,180.0,241,241|119,241|119
1,2|3|12|29|31,180.0,136,136|224,136|224
1,2|4|6|16|34,180.0,29,29|331,29|331
1,2|4|18|28|33,180.0,87,87|273,87|273
1,2|4|19|27|34,180.0,129,129|231,129|231
1,2|4|21|27|42,180.0,313,313|47,313|47
